"SID","lat","lon","elev","name"
37055,44.2167,43.1000,312.56,"MINERAL'NYE VODY"
37259,43.0167,47.4833,-19,"MAHACHKALA"
37860,40.5333,50,28,"MASHTAGA"
40179,32,34.8167,35,"BET DAGAN"
40186,31.8667,34.6833,20,"ASHDOD NORTH"
40373,28.3167,46.1333,358,"AL-QAISUMAH"
40375,28.3833,36.6,768,"TABUK"
40394,27.4333,41.6833,1002,"HAIL"
40417,26.45,49.8167,12,"K.F.I.A. (KING FAHAD INT. AIRPORT) DAMMAM"
40430,24.55,39.7,636,"AL-MADINAH"
40437,24.9333,46.7167,614,"KING KHALED INT. AIRPORT"
40650,33.3,44.4,32,"BAGHDAD INT. AIRPORT"
40706,38.0833,46.2833,1361,"TABRIZ"
40745,36.2667,59.6333,999,"MASHHAD"
40754,35.6833,51.3167,1191,"TEHRAN-MEHRABAD"
40766,34.35,47.15,1319,"KERMANSHAH"
40800,32.4667,51.6667,1550,"ESFAHAN"
40809,32.8667,59.2,1491,"BIRJAND"
40811,31.3333,48.6667,22,"AHWAZ"
40841,30.25,56.9667,1754,"KERMAN"
40848,29.5333,52.6,1484,"SHIRAZ"
40856,29.4667,60.8833,1370,"ZAHEDAN"
40875,27.2167,56.3667,10,"BANDARABBASS"
41024,21.7,39.1833,17,"JEDDAH (KING ABDUL AZIZ INT. AIRPORT)"
41112,18.2333,42.65,2093,"ABHA"
41217,24.4333,54.65,27,"ABU DHABI INTER. AIRPORT"
41256,23.5833,58.2833,15,"SEEB, INT'L AIRPORT"
41316,17.0333,54.0833,23,"SALALAH"
41640,31.55,74.3333,215,"LAHORE CITY"
41675,30.2,71.4333,123,"MULTAN"
41780,24.9,67.1333,22,"KARACHI AIRPORT"
41883,24.85,89.3667,20,"BOGRA"
41923,23.7667,90.3833,9,"DHAKA"
41977,22.35,91.8167,34,"CHITTAGONG (AMBAGAN)"
42027,34.0833,74.8333,1587,"SRINAGAR"
42101,30.3333,76.4667,252,"PATIALA"
42182,28.5833,77.2,216,"NEW DELHI/SAFDARJUNG"
42314,27.4833,95.0167,111,"DIBRUGARH /MOHANBARI"
42339,26.3,73.0167,221,"JODHPUR"
42348,26.8167,75.8,390,"JAIPUR / SANGANER"
42361,26.2333,78.25,207,"GWALIOR"
42379,26.75,83.3667,77.4,"GORAKHPUR"
42410,26.1,91.5833,72.1,"GUWAHATI"
42492,25.6,85.1667,57,"PATNA"
42647,23.0667,72.6333,56.4,"AHMADABAD"
42724,23.8833,91.25,38.5,"AGARTALA"
42809,22.65,88.45,6.1,"KOLKATA/DUM DUM"
42867,21.1,79.05,310,"NAGPUR SONEGAON"
42971,20.25,85.8333,49.4,"BHUBANESHWAR"
43003,19.1167,72.85,14.6,"BOMBAY / SANTACRUZ"
43014,19.85,75.4,585,"AURANGABAD CHIKALTHANA AERODROME"
43041,19.0833,82.0333,554,"JAGDALPUR"
43128,17.45,78.4667,535,"HYDERABAD AIRPORT"
43150,17.6833,83.3,69.9,"VISHAKHAPATNAM/WALTAIR"
43185,16.2,81.15,9.77,"MACHILIPATNAM/FRANCHPET"
43279,13,80.1833,15.5,"CHENNAI/MINAMBAKKAM"
